Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-04-2026 12:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
262,,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",132.00
263,,Sagar,"Civil Lines, Sagar - MPPCB",156.00
264,,,"Deen Dayal Nagar, Sagar - MPPCB",82.00
265,,Satna,"Bandhavgar Colony, Satna - Birla Cement",70.00
266,,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",233.00
267,,Ujjain,"Mahakaleshwar Temple, Ujjain - MPPCB",Insufficient data available in last 24 hours.
268,,,"Mahashweta Nagar, Ujjain - MPPCB",Insufficient data available in last 24 hours.
269,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",Insufficient data available in last 24 hours.
270,,Akola,"Ramdaspeth, Akola - MPCB",102.00
271,,Ambernath,"Chinchpada, Ambernath - MPCB",57.00
272,,Amravati,"Shivneri Colony, Amravati - MPCB",102.00
273,,,"Shri Shivaji Science College, Amravati - MPCB",116.00
274,,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB",Insufficient data available in last 24 hours.
275,,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",66.00
276,,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB",96.00
277,,Badlapur,"Katrap, Badlapur - MPCB",113.00
278,,Beed,"Bir, Beed - MPCB",100.00
279,,Belapur,"CBD Belapur, Belapur - MPCB",115.00
280,,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",114.00
281,,Boisar,"Khaira, Boisar - MPCB",74.00
282,,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",137.00
283,,,"MIDC Khutala, Chandrapur - MPCB",183.00
284,,Dhule,"Deopur, Dhule - MPCB",102.00
285,,Dombivli ,"Kalu Nagar, Dombivli - MPCB",63.00
286,,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB",236.00
287,,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",107.00
288,,Jalna,"Old MIDC, Jalna - MPCB",93.00
289,,Kalyan,"Khadakpada, Kalyan - MPCB",53.00
290,,,"Pimpleshwar Mandir, Kalyan - MPCB",Insufficient data available in last 24 hours.
291,,Kolhapur,"Shivaji University, Kolhapur - MPCB",60.00
292,,,"Sinchan Bhavan, Kolhapur - MPCB",Insufficient data available in last 24 hours.
293,,Latur,"Sawe Wadi, Latur - MPCB",68.00
294,,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",79.00
295,,Malegaon,"Mahesh Nagar, Malegaon - MPCB",Insufficient data available in last 24 hours.
296,,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",71.00
297,,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",140.00
298,,,"Bandra Kurla Complex, Mumbai - MPCB",103.00
299,,,"Bandra, Mumbai - MPCB",Insufficient data available in last 24 hours.
300,,,"Borivali East, Mumbai - IITM",130.00
301,,,"Borivali East, Mumbai - MPCB",95.00
302,,,"Byculla, Mumbai - BMC",95.00
303,,,"Chakala-Andheri East, Mumbai - IITM",131.00
304,,,"Chembur, Mumbai - MPCB",90.00
305,,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",90.00
306,,,"Colaba, Mumbai - MPCB",71.00
307,,,"Deonar, Mumbai - IITM",160.00
308,,,"Ghatkopar, Mumbai - BMC",119.00
309,,,"Kandivali East, Mumbai - MPCB",36.00
310,,,"Kandivali West, Mumbai - BMC",87.00
311,,,"Kherwadi_Bandra East, Mumbai - MPCB",101.00
312,,,"Khindipada-Bhandup West, Mumbai - IITM",86.00
313,,,"Kurla, Mumbai - MPCB",108.00
314,,,"Malad West, Mumbai - IITM",111.00
315,,,"Mazgaon, Mumbai - IITM",106.00
316,,,"Mindspace-Malad West, Mumbai - MPCB",Insufficient data available in last 24 hours.
317,,,"Mulund West, Mumbai - MPCB",34.00
318,,,"Navy Nagar-Colaba, Mumbai - IITM",119.00
319,,,"Powai, Mumbai - MPCB",79.00
320,,,"Sewri, Mumbai - BMC",64.00
321,,,"Shivaji Nagar, Mumbai - BMC",116.00
322,,,"Siddharth Nagar-Worli, Mumbai - IITM",96.00
323,,,"Sion, Mumbai - MPCB",Insufficient data available in last 24 hours.
324,,,"Vasai West, Mumbai - MPCB",Insufficient data available in last 24 hours.
325,,,"Vile Parle West, Mumbai - MPCB",81.00
326,,,"Worli, Mumbai -MPCB",Insufficient data available in last 24 hours.
327,,Nagpur,"Ambazari, Nagpur - MPCB",123.00
328,,,"Mahal, Nagpur - MPCB",153.00
329,,,"Opp GPO Civil Lines, Nagpur - MPCB",139.00
330,,,"Ram Nagar, Nagpur - MPCB",140.00
331,,Nanded,"Sneh Nagar, Nanded - MPCB",155.00
332,,Nashik,"Gangapur Road, Nashik - MPCB",95.00
333,,,"Hirawadi, Nashik - MPCB",72.00
334,,,"MIDC Ambad, Nashik - MPCB",93.00
335,,,"Pandav Nagari, Nashik - MPCB",87.00
336,,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",Insufficient data available in last 24 hours.
337,,,"Kopripada-Vashi, Navi Mumbai - MPCB",63.00
338,,,"Mahape, Navi Mumbai - MPCB",121.00
339,,,"Nerul, Navi Mumbai - MPCB",100.00
340,,,"Sanpada, Navi Mumbai - MPCB",78.00
341,,,"Sector-19A Nerul, Navi Mumbai - IITM",Insufficient data available in last 24 hours.
342,,,"Sector-2E Kalamboli, Navi Mumbai - MPCB",72.00
343,,,"Tondare-Taloja, Navi Mumbai - MPCB",109.00
344,,Parbhani,"Masoom Colony, Parbhani - MPCB",91.00
345,,Pimpri-Chinchwad,"Alandi, Pune - IITM",Insufficient data available in last 24 hours.
346,,,"Bhosari, Pune - IITM",91.00
347,,,"Bhumkar Nagar, Pune - IITM",133.00
348,,,"Gavalinagar, Pimpri Chinchwad - MPCB",Insufficient data available in last 24 hours.
349,,,"Park Street Wakad, Pimpri Chinchwad - MPCB",119.00
350,,,"Savta Mali Nagar, Pimpri-Chinchwad - IITM",96.00
351,,,"Thergaon, Pimpri Chinchwad - MPCB",106.00
352,,,"Transport Nagar-Nigdi, Pune - IITM",75.00
353,,Pune,"Dhankawadi, Pune - IITM",91.00
354,,,"Hadapsar, Pune - IITM",100.00
355,,,"Karve Road, Pune - MPCB",Insufficient data available in last 24 hours.
356,,,"Katraj Dairy, Pune - MPCB",59.00
357,,,"MIT-Kothrud, Pune - IITM",Insufficient data available in last 24 hours.
358,,,"Mhada Colony, Pune - IITM",100.00
359,,,"Panchawati_Pashan, Pune - IITM",83.00
360,,,"Revenue Colony-Shivajinagar, Pune - IITM",82.00
361,,,"Savitribai Phule Pune University, Pune - MPCB",Insufficient data available in last 24 hours.
